"id","age","no_stories","no_stories_above_critical_floor_cf","total_height","floor_area","total_floor_area_above_c_f","c_f_column_area","c_f_concrete_wall_area_ns","c_f_concrete_wall_area_ew","c_f_masonry_wall_area_ns","c_f_masonry_wall_area_ew","critical_aac_masonry_wall_area_ns","critical_aac_masonry_wall_area_ew","c_f_concrete_wall_area_max","c_f_concrete_wall_area_min","c_f_masonry_wall_area_max","c_f_masonry_wall_area_min","cd","wd","structural_damage_5_class","structural_damage_3_class","structural_damage_encoding_3_class","critical_damage","critical_damage_encoding","masonry_wall_damage_5_class","masonry_wall_damage_encoding_5_class","captive_columns_presence","captive_column_encoding","column_index_percent","wall_index_ns_percent","wall_index_ew_percent","min_wi_percent","priority_index_percent","soft_story","soft_story_encoding","latitude","longitude","v_s30","t_1_n_10","t_1_0_0466h_0_9","m7_8_repi","m7_8_rrup","m6_7_repi","m6_7_rrup","m7_8_repi_2","m7_8_rrup_2","m6_3_repi","m6_3_rrup","m7_8_pga","m7_8_pgv","m7_8_psa0_3","m7_8_psa0_6","m7_8_psa1_0","m7_8_ai","m7_8_cav","m6_7_pga","m6_7_pgv","m6_7_psa0_3","m6_7_psa0_6","m6_7_psa1_0","m6_7_ai","m6_7_cav","m7_5_pga","m7_5_pgv","m7_7_psa0_3","m7_7_psa0_6","m7_7_psa1_0","m7_7_ai","m7_7_cav","m6_3_pga","m6_3_pgv","m6_3_psa0_3","m6_3_psa0_6","m6_3_psa1_0","m6_3_ai","m6_3_cav","m7_8_sa_t1","m6_8_sa_t1","m7_5_sa_t1","m6_4_sa_t1","pga_max","pgv_max","sa_t1_max","ai_max","cav_max","m7_8_pga_2","m7_8_pgv_2","m7_8_sa0_3","m7_8_sa1_0","m7_8_sa3_0","m6_7_pga_2","m6_7_pgv_2","m6_7_sa0_3","m6_7_sa1_0","m6_7_sa3_0","m7_8_pga_3","m7_8_pgv_3","m7_8_sa0_3_2","m7_8_sa1_0_2","m7_8_sa3_0_2","m6_3_pga_2","m6_3_pgv_2","m6_3_sa0_3","m6_3_sa1_0","m6_3_sa3_0"
"Bld001",29,10,10,27,418,4180,6.21,0,2.1,0,0,0,0,2.1,0,0,0,0.0148564593301435,0,"M","M",2,"N",0,"S",3,"N",0,0.000742822966507177,0,0.000502392344497608,0,0.000742822966507177,"Y",1,37.0719444,37.3386111,370.4710693,1,0.904926496021345,33.765846,29.794067,41.614227,34.493763,105.21584,101.51558,"154.88333","144.25706",0.239246513,31.46591963,0.548934775,0.34915835,0.188846329,1.912604923,26.68105287,0.130532675,11.06816956,0.253935645,0.184870878,0.115513733,0.329311522,8.134056811,0.085079934,28.57945523,0.152664664,0.163889131,0.129762532,0.19950033,8.253568719,0.019259537,1.713734735,0.043587812,0.02364528,0.016341706,0.007868217,1.50015694,0.226949892915925,0.131998800002764,0.137873870364511,0.0180776469293685,0.239246513,31.46591963,0.226949892915925,1.912604923,26.68105287,0.18862796,21.29866,0.49202663,0.19100749,0.063817069,0.11509556,9.3576832,0.25442937,0.11108891,0.027552906,0.065450065,18.183155,0.12169941,0.10513335,0.037036832,"1.6959281999999999E-2","1.5008573999999999","4.4135131000000001E-2","1.8339772000000001E-2","2.5837288999999999E-3"
"Bld002",29,10,10,27,418,4180,6.21,0,2.1,0,0,0,0,2.1,0,0,0,0.0148564593301435,0,"C","S",3,"Y",1,"C",4,"N",0,0.000742822966507177,0,0.000502392344497608,0,0.000742822966507177,"Y",1,37.0719444,37.3386111,370.4710693,1,0.904926496021345,33.765846,29.794067,41.614227,34.493763,105.21584,101.51558,"154.88333","144.25706",0.239246513,31.46591963,0.548934775,0.34915835,0.188846329,1.912604923,26.68105287,0.130532675,11.06816956,0.253935645,0.184870878,0.115513733,0.329311522,8.134056811,0.085079934,28.57945523,0.152664664,0.163889131,0.129762532,0.19950033,8.253568719,0.019259537,1.713734735,0.043587812,0.02364528,0.016341706,0.007868217,1.50015694,0.226949892915925,0.131998800002764,0.137873870364511,0.0180776469293685,0.239246513,31.46591963,0.226949892915925,1.912604923,26.68105287,0.18862796,21.29866,0.49202663,0.19100749,0.063817069,0.11509556,9.3576832,0.25442937,0.11108891,0.027552906,0.065450065,18.183155,0.12169941,0.10513335,0.037036832,"1.6959281999999999E-2","1.5008573999999999","4.4135131000000001E-2","1.8339772000000001E-2","2.5837288999999999E-3"
"Bld003",14,7,7,21.3,707,4949,10.5,0.525,2.9,3.192,2.376,2.66,0,2.9,0.525,3.192,2.376,0.0148514851485149,0.000742574257425743,"S","S",3,"Y",1,"C",4,"N",0,0.00106082036775106,0.000224328147100424,0.00063398666397252,0.000224328147100424,0.00128514851485149,"N",0,37.1841667,36.7391667,455.4541016,0.7,0.731017139830496,24.50346,1.7910616,13.633361,11.14435,100.08025,87.773857,"130.32303999999999","118.12179",0.527377133,98.48009746,1.237202176,1.148497899,0.848518165,6.019697283,33.43457954,0.309294019,28.22718789,0.599773047,0.541142609,0.223948445,0.771266491,6.961072469,0.054953237,13.70502827,0.111572834,0.094774866,0.050314444,0.103888213,5.219349041,0.023635084,2.230049981,0.057310784,0.032322044,0.025292145,0.010908544,1.477036022,1.05024168211052,0.437247928654487,0.0802121726847578,0.0300194508493068,0.527377133,98.48009746,1.05024168211052,6.019697283,33.43457954,0.60602647,97.071854,1.3967533,1.1833477,0.18852659,0.35089993,24.435879,0.70751256,0.25061598,0.057066128,0.062005848,14.099713,0.13754137,0.086355962,0.034416936,"2.6528817E-2","3.0475683","7.1896762000000003E-2","3.0414562999999999E-2","4.7672130000000002E-3"
"Bld004",1,2,2,5.7,703,1401,11.89,3.09,3.24,0,0,0,0,3.24,3.09,0,0,0.0169132290184922,0.00439544807965861,"N","L",1,"N",0,"N",0,"N",0,0.00424339757316203,0.00220556745182013,0.00231263383297645,0.00220556745182013,0.00644896502498216,"N",0,37.1847222,36.7366667,468.7735291,0.2,0.223189257191875,24.713682,1.6948079,13.853646,11.277576,100.11313,87.662003,"130.26815999999999","118.06269",0.532264164,97.51193456,1.251243172,1.151578554,0.855945505,6.039165618,33.06416248,0.308691731,27.80361726,0.604857968,0.543994229,0.220941736,0.78072129,6.8887617,0.05420649,13.41644606,0.109419188,0.092548412,0.049079081,0.101926308,5.145296674,0.023235546,2.171977672,0.055983104,0.031327124,0.02433596,0.010660405,1.453510809,1.06715879977357,0.529028805804476,0.0952827601805978,0.0475985564828928,0.532264164,97.51193456,1.06715879977357,6.039165618,33.06416248,0.60823244,96.374687,1.3919847,1.1680295,0.18539877,0.34579271,23.903055,0.69333589,0.2442248,0.055784795,0.061160494,13.779264,0.13387945,0.08365377,0.03349296,"2.6298918000000001E-2","3.000591","7.0733300999999998E-2","2.9806629000000001E-2","4.6636569000000003E-3"
"Bld005",1,7,7,21.5,662,4631,5.46,6.175,1.5,1.384,2.12,0,0,6.175,1.5,2.12,1.384,0.00824773413897281,0.00226586102719033,"S","S",3,"N",0,"C",4,"Y",1,0.000589505506370114,0.00136329086590369,0.000369682573958108,0.000369682573958108,0.000959188080328223,"N",0,37.185278,36.7366667,468.7735291,0.7,0.737191859113052,24.70639,1.6975455,13.852701,11.277006,100.05656,87.602287,"130.32204999999999","118.11566000000001",0.532626321,97.65378305,1.251118751,1.151010705,0.854390468,6.049406625,33.10246025,0.307988606,27.73822934,0.602357078,0.54171062,0.220334669,0.776720863,6.88099858,0.054237551,13.41980152,0.109479476,0.09255821,0.04906803,0.102039266,5.147737791,0.023216633,2.171066116,0.055940911,0.031292196,0.024348568,0.010651889,1.452908294,1.04927600058854,0.431485209520213,0.0776419633815969,0.0289106729142264,0.532626321,97.65378305,1.04927600058854,6.049406625,33.10246025,0.6062358,95.772255,1.3857355,1.1601238,0.18415396,0.34511,23.778097,0.69023073,0.24246617,0.055425361,0.061048467,13.731818,0.13339083,0.083226718,0.033352725,"2.6210128999999999E-2","2.9859776","7.0308089000000004E-2","2.9546129000000001E-2","4.6257828000000004E-3"
"Bld006",1,7,7,21,424,2965,2.43,4.44,5.82,2.435,3.035,0,0,5.82,4.44,3.035,2.435,0.0057311320754717,0.0104716981132075,"S","S",3,"N",0,"C",4,"Y",1,0.000409780775716695,0.00157959527824621,0.00206526138279933,0.00157959527824621,0.0019893760539629,"N",0,37.1844444,36.7322222,468.7735291,0.7,0.721744165786063,25.104071,1.5206479,14.247441,11.515745,100.30046,87.59906,"130.04836","117.83753",0.547683695,98.11545533,1.301986143,1.19844948,0.917816591,6.309914942,33.14279622,0.321331198,28.42862967,0.660321938,0.586391915,0.229106508,0.867145956,7.018703057,0.054225156,13.43559068,0.109436703,0.092876946,0.049410123,0.102094469,5.149351884,0.023248188,2.162594426,0.056029004,0.031210007,0.023905433,0.010647444,1.452951046,1.11303593759141,0.477648380443128,0.0796473657362364,0.0289867838298686,0.547683695,98.11545533,1.11303593759141,6.309914942,33.14279622,0.61654377,96.484711,1.3972943,1.1584911,0.18265352,0.33670047,22.99922,0.66852862,0.23348755,0.053634241,0.059921172,13.320673,0.1285176,0.079849117,0.03217854,"2.5864016E-2","2.9102142","6.8588181999999998E-2","2.877859E-2","4.4814614000000001E-3"
"Bld007",8,6,6,18.6,259,1555,2.62,1.875,0,6.6,0.62,0,0,1.875,0,6.6,0.62,0.0101158301158301,0,"S","S",3,"Y",1,"C",4,"N",0,0.000842443729903537,0.00163022508038585,3.98713826366559e-05,3.98713826366559e-05,0.000882315112540193,"Y",1,37.1830556,36.7313889,468.7735291,0.6,0.647064489236571,25.198833,1.478624,14.325475,11.56294,100.47157,87.731148,"129.87757999999999","117.66797",0.543400407,98.38728423,1.287073464,1.186541846,0.896412298,6.232637091,33.171197,0.31327573,28.04116517,0.630416767,0.564887597,0.225126033,0.8179521,6.930125974,0.054167871,13.43382137,0.109321788,0.092934791,0.049508417,0.101852062,5.144161215,0.02329031,2.162978062,0.056129353,0.03127536,0.023804506,0.01066578,1.454272622,1.15240484852736,0.524910835820303,0.0878251907207342,0.0303963301808225,0.543400407,98.38728423,1.15240484852736,6.232637091,33.171197,0.62286824,97.972885,1.412629,1.1758473,0.18563175,0.33678481,23.124958,0.6716404,0.23560782,0.054071311,0.059924383,13.35146,0.12861094,0.080222256,0.032289624,"2.5989992999999999E-2","2.9271821999999998","6.9162913000000006E-2","2.918076E-2","4.5334846000000002E-3"
"Bld008",6,7.5,7.5,21.2,261,1898,5.52,0,1,2.49,1.46,0,0,1,0,2.49,1.46,0.0211494252873563,0,"S","S",3,"N",0,"C",4,"Y",1,0.00145416227608008,0.000131190727081138,0.000603793466807165,0.000131190727081138,0.00158535300316122,"Y",1,37.183889,36.731667,468.7735291,0.75,0.727927608691506,25.159538,1.4891438,14.297496,11.546018,100.37677,87.647217,"129.97047000000001","117.75984",0.546188668,98.26885492,1.296484486,1.194240544,0.909585684,6.284011887,33.16576701,0.317835927,28.26078786,0.647459765,0.577583839,0.227476559,0.845821745,6.979562907,0.05420456,13.43607198,0.109394106,0.09291755,0.049466295,0.102008654,5.147539141,0.023263736,2.162128284,0.056067222,0.031227519,0.023842145,0.01065382,1.453433993,1.10320250514446,0.465612871210281,0.0790210121330129,0.0288655359122189,0.546188668,98.26885492,1.10320250514446,6.284011887,33.16576701,0.61980408,97.112625,1.4048032,1.165392,0.18351872,0.33611843,22.972553,0.66775352,0.23333567,0.053605646,0.059852194,13.300897,0.12822482,0.079713181,0.032125581,"2.5860721E-2","2.9069780999999999","6.8565561999999997E-2","2.8808512000000001E-2","4.4812271000000004E-3"
"Bld009",4,8,8,26.8,563,4502,3.965,1.75,3.5,3.456,1.696,0,0,3.5,1.75,3.456,1.696,0.00704262877442273,0.00310834813499112,"S","S",3,"N",0,"C",4,"N",0,0.00044035984007108,0.000465482007996446,0.000815104398045313,0.000465482007996446,0.000905841848067526,"N",0,37.1861111,36.7305556,468.7735291,0.8,0.898891412235712,25.227697,1.4904127,14.392203,11.603296,100.1908,87.384918,"130.13847000000001","117.92279000000001",0.543779807,99.28410668,1.279772949,1.177429594,0.877556735,6.26763418,33.41552504,0.305689577,27.46091197,0.603604754,0.542250948,0.219701989,0.773710044,6.843461045,0.054322483,13.45240068,0.109615663,0.093017907,0.049495798,0.102522196,5.158816518,0.023191518,2.155482146,0.055905495,0.031040004,0.023761695,0.010614424,1.450829934,0.953356038205824,0.301233163323328,0.0604969454437835,0.0256014438607553,0.543779807,99.28410668,0.953356038205824,6.26763418,33.41552504,0.61200911,94.423851,1.3757389,1.1272095,0.17750417,0.32778078,21.844021,0.63623828,0.21810579,0.050521471,0.059169635,13.022994,0.12524629,0.077284582,0.031312738,"2.5034159E-2","2.7633964999999998","6.4720258000000003E-2","2.6708372000000001E-2","4.1583766999999999E-3"
"Bld010",6,2.5,2.5,8,520,1300,5.5625,4.41,0.9,0,0,4.43,0,4.41,0.9,0,0,0.0106971153846154,0.00173076923076923,"L","L",1,"N",0,"S",3,"N",0,0.00213942307692308,0.00373307692307692,0.000692307692307692,0.000692307692307692,0.00283173076923077,"N",0,37.1866667,36.7311111,468.7735291,0.25,0.302807693361605,25.172174,1.5203358,14.342116,11.573004,100.11443,87.336777,"130.21635000000001","118.00047000000001",0.543171853,99.29870583,1.276996716,1.174350856,0.873644335,6.257723426,33.42759912,0.305123453,27.41387293,0.600750111,0.539772669,0.219096396,0.769705045,6.838441089,0.054350734,13.45353841,0.109672566,0.09298785,0.04944473,0.102608572,5.160638413,0.023173126,2.155808245,0.055861865,0.031021437,0.023825581,0.010608289,1.450351746,1.27603605566761,0.60017942446963,0.109516414112155,0.0556293839840166,0.543171853,99.29870583,1.27603605566761,6.257723426,33.42759912,0.60882556,93.80677,1.3684475,1.120459,0.17664807,0.32850274,21.879017,0.63745964,0.21836147,0.05056927,0.059234422,13.041247,0.12552138,0.077407159,0.031361278,"2.5043901E-2","2.7675312000000001","6.4764618999999995E-2","2.6686116999999999E-2","4.1598006999999998E-3"
