metric,value,train_country,test_country,feature_set,model
accuracy,0.7154882265334375,Nepal,Nepal,F0,rf
sensitivity,0.8772700995844286,Nepal,Nepal,F0,rf
specificity,0.4712865092693207,Nepal,Nepal,F0,rf
precision,0.714657638925912,Nepal,Nepal,F0,rf
f1,0.7876585888954721,Nepal,Nepal,F0,rf
auc,0.7704326106739224,Nepal,Nepal,F0,rf
brier,0.187363092519044,Nepal,Nepal,F0,rf
accuracy,0.6446280991735537,Nepal,Türkiye,F0,rf
sensitivity,0.9044585987261147,Nepal,Türkiye,F0,rf
specificity,0.16470588235294117,Nepal,Türkiye,F0,rf
precision,0.6666666666666666,Nepal,Türkiye,F0,rf
f1,0.7675675675675675,Nepal,Türkiye,F0,rf
auc,0.5382914949419257,Nepal,Türkiye,F0,rf
brier,0.24202962243148368,Nepal,Türkiye,F0,rf
accuracy,0.19890448476549127,Nepal,Japan,F0,rf
sensitivity,1,Nepal,Japan,F0,rf
specificity,0,Nepal,Japan,F0,rf
precision,0.19890448476549127,Nepal,Japan,F0,rf
f1,0.33181039406053686,Nepal,Japan,F0,rf
auc,0.428165198185906,Nepal,Japan,F0,rf
brier,0.48427477006905545,Nepal,Japan,F0,rf
accuracy,0.6440596566827714,Türkiye,Nepal,F0,rf
sensitivity,0.6738909075085399,Türkiye,Nepal,F0,rf
specificity,0.5987324949418812,Türkiye,Nepal,F0,rf
precision,0.718450768260095,Türkiye,Nepal,F0,rf
f1,0.6954578012695434,Türkiye,Nepal,F0,rf
auc,0.6348021595005069,Türkiye,Nepal,F0,rf
brier,0.28735959069494776,Türkiye,Nepal,F0,rf
accuracy,0.7142857142857143,Türkiye,Türkiye,F0,rf
sensitivity,0.7941176470588235,Türkiye,Türkiye,F0,rf
specificity,0.5333333333333333,Türkiye,Türkiye,F0,rf
precision,0.7941176470588235,Türkiye,Türkiye,F0,rf
f1,0.7941176470588235,Türkiye,Türkiye,F0,rf
auc,0.7764705882352941,Türkiye,Türkiye,F0,rf
brier,0.1917140178847805,Türkiye,Türkiye,F0,rf
accuracy,0.29623844573776104,Türkiye,Japan,F0,rf
sensitivity,0.7574225473321858,Türkiye,Japan,F0,rf
specificity,0.18173076923076922,Türkiye,Japan,F0,rf
precision,0.18687793614141254,Türkiye,Japan,F0,rf
f1,0.29978924062759454,Türkiye,Japan,F0,rf
auc,0.3650562816743163,Türkiye,Japan,F0,rf
brier,0.6484127097488732,Türkiye,Japan,F0,rf
accuracy,0.4690523741165788,Japan,Nepal,F0,rf
sensitivity,0.2416983964665695,Japan,Nepal,F0,rf
specificity,0.8145058912206926,Japan,Nepal,F0,rf
precision,0.6644118280341635,Japan,Nepal,F0,rf
f1,0.3544541692325855,Japan,Nepal,F0,rf
auc,0.4954196718228471,Japan,Nepal,F0,rf
brier,0.48981935757128653,Japan,Nepal,F0,rf
accuracy,0.4090909090909091,Japan,Türkiye,F0,rf
sensitivity,0.1464968152866242,Japan,Türkiye,F0,rf
specificity,0.8941176470588236,Japan,Türkiye,F0,rf
precision,0.71875,Japan,Türkiye,F0,rf
f1,0.2433862433862434,Japan,Türkiye,F0,rf
auc,0.4780816785312852,Japan,Türkiye,F0,rf
brier,0.5217950872359963,Japan,Türkiye,F0,rf
accuracy,0.7319021467798302,Japan,Japan,F0,rf
sensitivity,0.32539252842447214,Japan,Japan,F0,rf
specificity,0.8320074663348296,Japan,Japan,F0,rf
precision,0.322944653412144,Japan,Japan,F0,rf
f1,0.32416396979503775,Japan,Japan,F0,rf
auc,0.6593045562850957,Japan,Japan,F0,rf
brier,0.195817388795543,Japan,Japan,F0,rf
