metric,value,model,split_id,country,feature_set
accuracy,0.7162427256444407,rf,1,Nepal,F0
sensitivity,0.8765910228236984,rf,1,Nepal,F0
specificity,0.47260194720399357,rf,1,Nepal,F0
precision,0.7163507698872729,rf,1,Nepal,F0
f1,0.7884112990812403,rf,1,Nepal,F0
auc,0.7701159845734465,rf,1,Nepal,F0
brier,0.18731361760856666,rf,1,Nepal,F0
accuracy,0.716715107696547,rf,2,Nepal,F0
sensitivity,0.8776136289462806,rf,2,Nepal,F0
specificity,0.47223829280790786,rf,2,Nepal,F0
precision,0.7164476021314388,rf,2,Nepal,F0
f1,0.788883347512737,rf,2,Nepal,F0
auc,0.7691835563915241,rf,2,Nepal,F0
brier,0.18753486254868543,rf,2,Nepal,F0
accuracy,0.7151142574088533,rf,3,Nepal,F0
sensitivity,0.8768521137486129,rf,3,Nepal,F0
specificity,0.46936211712977505,rf,3,Nepal,F0
precision,0.7151653889835321,rf,3,Nepal,F0
f1,0.7877982270092755,rf,3,Nepal,F0
auc,0.7689644226290617,rf,3,Nepal,F0
brier,0.18774333784605446,rf,3,Nepal,F0
accuracy,0.7154226179150893,rf,4,Nepal,F0
sensitivity,0.876449598572703,rf,4,Nepal,F0
specificity,0.4707506157330116,rf,4,Nepal,F0
precision,0.715605375589565,rf,4,Nepal,F0
f1,0.7879024962714848,rf,4,Nepal,F0
auc,0.7712403884782966,rf,4,Nepal,F0
brier,0.18698126756580533,rf,4,Nepal,F0
accuracy,0.7172249996719547,rf,5,Nepal,F0
sensitivity,0.8781902047388003,rf,5,Nepal,F0
specificity,0.47264281935995767,rf,5,Nepal,F0
precision,0.7167400646375679,rf,5,Nepal,F0
f1,0.7892935712539721,rf,5,Nepal,F0
auc,0.7682378157705041,rf,5,Nepal,F0
brier,0.18765738465237533,rf,5,Nepal,F0
accuracy,0.5306122448979592,rf,1,Türkiye,F0
sensitivity,0.65625,rf,1,Türkiye,F0
specificity,0.29411764705882354,rf,1,Türkiye,F0
precision,0.6363636363636364,rf,1,Türkiye,F0
f1,0.6461538461538462,rf,1,Türkiye,F0
auc,0.520220588235294,rf,1,Türkiye,F0
brier,0.3158433289241623,rf,1,Türkiye,F0
accuracy,0.5714285714285714,rf,2,Türkiye,F0
sensitivity,0.6875,rf,2,Türkiye,F0
specificity,0.35294117647058826,rf,2,Türkiye,F0
precision,0.6666666666666666,rf,2,Türkiye,F0
f1,0.676923076923077,rf,2,Türkiye,F0
auc,0.5597426470588236,rf,2,Türkiye,F0
brier,0.34172789115646257,rf,2,Türkiye,F0
accuracy,0.6041666666666666,rf,3,Türkiye,F0
sensitivity,0.6129032258064516,rf,3,Türkiye,F0
specificity,0.5882352941176471,rf,3,Türkiye,F0
precision,0.7307692307692307,rf,3,Türkiye,F0
f1,0.6666666666666667,rf,3,Türkiye,F0
auc,0.6508538899430739,rf,3,Türkiye,F0
brier,0.25917003976652386,rf,3,Türkiye,F0
accuracy,0.5833333333333334,rf,4,Türkiye,F0
sensitivity,0.6774193548387096,rf,4,Türkiye,F0
specificity,0.4117647058823529,rf,4,Türkiye,F0
precision,0.6774193548387096,rf,4,Türkiye,F0
f1,0.6774193548387096,rf,4,Türkiye,F0
auc,0.5512333965844401,rf,4,Türkiye,F0
brier,0.2939859526722726,rf,4,Türkiye,F0
accuracy,0.5416666666666666,rf,5,Türkiye,F0
sensitivity,0.5161290322580645,rf,5,Türkiye,F0
specificity,0.5882352941176471,rf,5,Türkiye,F0
precision,0.6956521739130435,rf,5,Türkiye,F0
f1,0.5925925925925926,rf,5,Türkiye,F0
auc,0.6318785578747627,rf,5,Türkiye,F0
brier,0.329325520515768,rf,5,Türkiye,F0
accuracy,0.7295128735468226,rf,1,Japan,F0
sensitivity,0.32950878451057725,rf,1,Japan,F0
specificity,0.8288372507122507,rf,1,Japan,F0
precision,0.3234207284884744,rf,1,Japan,F0
f1,0.3264363733238611,rf,1,Japan,F0
auc,0.6580863032898371,rf,1,Japan,F0
brier,0.19698601692862666,rf,1,Japan,F0
accuracy,0.72733756508095,rf,2,Japan,F0
sensitivity,0.3248476156328433,rf,2,Japan,F0
specificity,0.8272792022792023,rf,2,Japan,F0
precision,0.31834153197470133,rf,2,Japan,F0
f1,0.32156166814551906,rf,2,Japan,F0
auc,0.6567977749698904,rf,2,Japan,F0
brier,0.19902545195225202,rf,2,Japan,F0
accuracy,0.735646530204693,rf,3,Japan,F0
sensitivity,0.33201864467551095,rf,3,Japan,F0
specificity,0.8358707264957265,rf,3,Japan,F0
precision,0.3343563820184149,rf,3,Japan,F0
f1,0.33318341279122066,rf,3,Japan,F0
auc,0.65964509391673,rf,3,Japan,F0
brier,0.19417701625945494,rf,3,Japan,F0
accuracy,0.7345315787596733,rf,4,Japan,F0
sensitivity,0.3279540971848664,rf,4,Japan,F0
specificity,0.8354700854700855,rf,4,Japan,F0
precision,0.33104072398190043,rf,4,Japan,F0
f1,0.32949018194919827,rf,4,Japan,F0
auc,0.666155929777724,rf,4,Japan,F0
brier,0.19359117025950953,rf,4,Japan,F0
accuracy,0.7373488819942228,rf,5,Japan,F0
sensitivity,0.32580240272547967,rf,5,Japan,F0
specificity,0.8395210113960114,rf,5,Japan,F0
precision,0.33511619328661013,rf,5,Japan,F0
f1,0.3303936721520138,rf,5,Japan,F0
auc,0.664747312553033,rf,5,Japan,F0
brier,0.19320199859116635,rf,5,Japan,F0
