metric,value,model,split_id,country
accuracy,0.8352114685115184,rf,1,Japan
sensitivity,0.2669415561133023,rf,1,Japan
specificity,0.9763176638176638,rf,1,Japan
precision,0.7367639782285997,rf,1,Japan
f1,0.3918936702197658,rf,1,Japan
auc,0.8090256669146552,rf,1,Japan
brier,0.1219718645502382,rf,1,Japan
accuracy,0.8010840881534841,logistic,1,Japan
sensitivity,3.5855145213338117e-4,logistic,1,Japan
specificity,0.9999109686609686,logistic,1,Japan
precision,0.5,logistic,1,Japan
f1,7.165890361877464e-4,logistic,1,Japan
auc,0.6425293656576162,logistic,1,Japan
brier,0.15321995712009664,logistic,1,Japan
accuracy,0.8375650809500036,rf,2,Japan
sensitivity,0.2766224453209036,rf,2,Japan
specificity,0.9768518518518519,rf,2,Japan
precision,0.7479398933591856,rf,2,Japan
f1,0.4038738385028138,rf,2,Japan
auc,0.8152696958454423,rf,2,Japan
brier,0.1204374813832911,rf,2,Japan
accuracy,0.8010484273589615,logistic,2,Japan
sensitivity,3.5855145213338117e-4,logistic,2,Japan
specificity,0.9998664529914529,logistic,2,Japan
precision,0.4,logistic,2,Japan
f1,7.164606842199535e-4,logistic,2,Japan
auc,0.6432312655589209,logistic,2,Japan
brier,0.15306994490829984,logistic,2,Japan
accuracy,0.8382782968404536,rf,3,Japan
sensitivity,0.2757260666905701,rf,3,Japan
specificity,0.9779647435897436,rf,3,Japan
precision,0.7565174618789966,rf,3,Japan
f1,0.4041518854289844,rf,3,Japan
auc,0.818992795548294,rf,3,Japan
brier,0.11981579932917985,rf,3,Japan
accuracy,0.8010840881534841,logistic,3,Japan
sensitivity,1.7927572606669058e-4,logistic,3,Japan
specificity,0.9999554843304843,logistic,3,Japan
precision,0.5,logistic,3,Japan
f1,3.584229390681004e-4,logistic,3,Japan
auc,0.6438095383113698,logistic,3,Japan
brier,0.15296395746776226,logistic,3,Japan
accuracy,0.8363824399985735,rf,4,Japan
sensitivity,0.26663080509234355,rf,4,Japan
specificity,0.9778311965811965,rf,4,Japan
precision,0.74911838790932,rf,4,Japan
f1,0.3932822004760645,rf,4,Japan
auc,0.8115604016892242,rf,4,Japan
brier,0.12141621823095967,rf,4,Japan
accuracy,0.8010413323347955,logistic,4,Japan
sensitivity,1.7930787161556393e-4,logistic,4,Japan
specificity,0.9998664529914529,logistic,4,Japan
precision,0.25,logistic,4,Japan
f1,3.5835871707579287e-4,logistic,4,Japan
auc,0.6445803573207471,logistic,4,Japan
brier,0.152945054025766,logistic,4,Japan
accuracy,0.8376662743839378,rf,5,Japan
sensitivity,0.27972027972027974,rf,5,Japan
specificity,0.9761841168091168,rf,5,Japan
precision,0.7446300715990454,rf,5,Japan
f1,0.40667361835245053,rf,5,Japan
auc,0.8161907896097962,rf,5,Japan
brier,0.12003934494464391,rf,5,Japan
accuracy,0.8011483185335758,logistic,5,Japan
sensitivity,1.7930787161556393e-4,logistic,5,Japan
specificity,1,logistic,5,Japan
precision,1,logistic,5,Japan
f1,3.5855145213338117e-4,logistic,5,Japan
auc,0.6421488535024011,logistic,5,Japan
brier,0.1532533210922902,logistic,5,Japan
