train_domain,task,model,metric,mean_value,sd_value
Nepal,5class,nnet,accuracy,0.42273800379441734,0.03420938991339253
Nepal,5class,nnet,balanced_accuracy,0.3566774495087124,0.019086011095159217
Nepal,5class,nnet,macro_f1,0.3546246120213741,0.1048856524014296
Nepal,5class,polr,accuracy,0.4317367635396302,6.107507908448942e-4
Nepal,5class,polr,balanced_accuracy,0.34437101682602816,6.603287526827805e-4
Nepal,5class,polr,macro_f1,0.3001466557179219,7.428843539567414e-4
Nepal,5class,rf,accuracy,0.521263781359972,7.201589355859157e-4
Nepal,5class,rf,balanced_accuracy,0.4715524274600121,0.0011611944560612202
Nepal,5class,rf,macro_f1,0.45047990996123094,0.0011181128394204699
Nepal,binary,logistic,accuracy,0.7374654557170622,6.718105858634281e-4
Nepal,binary,logistic,auc,0.7675029142781401,0.0010222157929983804
Nepal,binary,logistic,brier,0.18054252239822688,3.128119518676271e-4
Nepal,binary,logistic,f1,0.8085018816094082,5.192936233049289e-4
Nepal,binary,logistic,precision,0.7217542576636139,4.392814435342543e-4
Nepal,binary,logistic,sensitivity,0.9189508496333848,8.795821777752278e-4
Nepal,binary,logistic,specificity,0.46170706481837737,0.0010719242204272454
Nepal,binary,nnet,accuracy,0.740430975295926,0.004716366625464079
Nepal,binary,nnet,auc,0.7440914123409613,0.04880965927702307
Nepal,binary,nnet,brier,0.18149193756757132,0.00828495881960966
Nepal,binary,nnet,f1,0.8097485893848845,0.003163711073655551
Nepal,binary,nnet,precision,0.7259880454464935,0.012770008644258002
Nepal,binary,nnet,sensitivity,0.916200691890951,0.025727854197479496
Nepal,binary,nnet,specificity,0.47335724442667243,0.048044755099724626
Nepal,binary,rf,accuracy,0.7864843432855345,9.135444214954052e-4
Nepal,binary,rf,auc,0.8638001970016566,9.232973586380371e-4
Nepal,binary,rf,brier,0.14527755058430247,4.066892633265341e-4
Nepal,binary,rf,f1,0.8327145040865233,7.408864488089973e-4
Nepal,binary,rf,precision,0.7893150908013666,6.686307885773717e-4
Nepal,binary,rf,sensitivity,0.8811644655251192,0.0010343033590229265
Nepal,binary,rf,specificity,0.6426224175076417,0.001246473297317293
Türkiye,5class,nnet,accuracy,0.7214285714285714,0.041418878395020654
Türkiye,5class,nnet,balanced_accuracy,0.7214285714285714,0.041418878395020654
Türkiye,5class,nnet,macro_f1,0.8376347591148702,0.028030878934786545
Türkiye,5class,polr,NA,NA,NA
Türkiye,5class,rf,accuracy,0.728021978021978,0.0592413699254061
Türkiye,5class,rf,balanced_accuracy,0.5211961279461279,0.15526955924159036
Türkiye,5class,rf,macro_f1,0.47775843488201897,0.0880994466010213
Türkiye,binary,logistic,accuracy,0.6449938949938949,0.1255792072167853
Türkiye,binary,logistic,auc,0.6257706766917294,0.0927809247788931
Türkiye,binary,logistic,brier,0.35458980612686036,0.12514198667879142
Türkiye,binary,logistic,f1,0.7336842928145881,0.1157404151175548
Türkiye,binary,logistic,precision,0.7881689517912428,0.05838006985233074
Türkiye,binary,logistic,sensitivity,0.6963157894736842,0.15977607252589654
Türkiye,binary,logistic,specificity,0.5107142857142857,0.13339178140702213
Türkiye,binary,nnet,accuracy,0.7130647130647131,0.017940363728558548
Türkiye,binary,nnet,auc,0.6076691729323308,0.12536751332844187
Türkiye,binary,nnet,brier,0.19265211334724197,0.023557878362253388
Türkiye,binary,nnet,f1,0.825077199769249,0.023058561479004577
Türkiye,binary,nnet,precision,0.7445291005291005,0.05082210402358027
Türkiye,binary,nnet,sensitivity,0.9394736842105263,0.10834309921178369
Türkiye,binary,nnet,specificity,0.11428571428571428,0.25555062599997597
Türkiye,binary,rf,accuracy,0.7501221001221001,0.07286644409050393
Türkiye,binary,rf,auc,0.7003947368421053,0.15116893822100183
Türkiye,binary,rf,brier,0.1718405630348789,0.035406306758275476
Türkiye,binary,rf,f1,0.8356494611457743,0.053589996806419175
Türkiye,binary,rf,precision,0.7977131564088086,0.043202853710069
Türkiye,binary,rf,sensitivity,0.8789473684210526,0.07551760448569339
Türkiye,binary,rf,specificity,0.39999999999999997,0.1398112795075956
